,city,job_url
110488979,guilin,https://m.51job.com/jobs/guilin/110488979.html
105769149,jiaxing,https://m.51job.com/jobs/jiaxing/105769149.html
112125839,weifang,https://m.51job.com/jobs/liuan/112125839.html
110681059,maanshan,https://m.51job.com/jobs/maanshan/110681059.html
88001985,hanzhong,https://m.51job.com/jobs/hanzhong/88001985.html
80711637,dongguan,https://m.51job.com/jobs/dongguan/80711637.html
111731961,changzhou,https://m.51job.com/jobs/changzhou-xbq/111731961.html
111190868,neijiang,https://m.51job.com/jobs/mianyang/111190868.html
108270553,jinzhou,https://m.51job.com/jobs/shenyang-shq/108270553.html
112119809,fuzhou,https://m.51job.com/jobs/fuzhou/112119809.html
112125845,shangqiu,https://m.51job.com/jobs/liuan/112125845.html
110297863,anshan,https://m.51job.com/jobs/anshan/110297863.html
106236120,yiwu,https://m.51job.com/jobs/yiwu/106236120.html
110395739,beijing,https://m.51job.com/jobs/beijing-dcq/110395739.html
112044807,quzhou,https://m.51job.com/jobs/quzhou/112044807.html
110121513,lianyungang,https://m.51job.com/jobs/lianyungang/110121513.html
112125592,xiaogan,https://m.51job.com/jobs/xiaogan/112125592.html
111732624,taiyuan,https://m.51job.com/jobs/taiyuan/111732624.html
75734994,harbin,https://m.51job.com/jobs/harbin/75734994.html
112119740,maoming,https://m.51job.com/jobs/guangzhou-yxq/112119740.html
111281907,weihai,https://m.51job.com/jobs/weihai/111281907.html
109650571,dandong,https://m.51job.com/jobs/dandong/109650571.html
112123784,heyuan,https://m.51job.com/jobs/heyuan/112123784.html
96473818,changde,https://m.51job.com/jobs/changde/96473818.html
107162117,ningde,https://m.51job.com/jobs/fuzhou-fqs/107162117.html
109305465,taizhoue,https://m.51job.com/jobs/zhejiangsheng/109305465.html
110681214,anqing,https://m.51job.com/jobs/anqing/110681214.html
111921462,foshan,https://m.51job.com/jobs/foshan-nhq/111921462.html
110807180,shanghai,https://m.51job.com/jobs/shanghai-sjq/110807180.html
111235947,liuzhou,https://m.51job.com/jobs/liuzhou/111235947.html
90452860,xinxiang,https://m.51job.com/jobs/xinxiang/90452860.html
92923197,qujing,https://m.51job.com/jobs/qujing/92923197.html
108940707,jinzhong,https://m.51job.com/jobs/jinzhong/108940707.html
112125371,yingkou,https://m.51job.com/jobs/yingkou/112125371.html
112124890,shangrao,https://m.51job.com/jobs/shangrao/112124890.html
112125928,jinhua,https://m.51job.com/jobs/ningbo/112125928.html
111558962,meishan,https://m.51job.com/jobs/meishan/111558962.html
101209667,weinan,https://m.51job.com/jobs/weinan/101209667.html
109894097,heze,https://m.51job.com/jobs/heze/109894097.html
110212511,hefei,https://m.51job.com/jobs/hefei/110212511.html
86679516,daqing,https://m.51job.com/jobs/daqing/86679516.html
109464515,changshu,https://m.51job.com/jobs/suzhou/109464515.html
111114734,fushun,https://m.51job.com/jobs/fushun/111114734.html
108710613,yinchuan,https://m.51job.com/jobs/yinchuan/108710613.html
110412268,pingdingshan,https://m.51job.com/jobs/pingdingshan/110412268.html
112124336,tangshan,https://m.51job.com/jobs/langfang/112124336.html
111296458,rizhao,https://m.51job.com/jobs/rizhao/111296458.html
110032188,jingmen,https://m.51job.com/jobs/jingmen/110032188.html
108073698,anyang,https://m.51job.com/jobs/anyang/108073698.html
112125844,xinyang,https://m.51job.com/jobs/liuan/112125844.html
112125395,guangzhou,https://m.51job.com/jobs/guangzhou-yxq/112125395.html
82173297,shaoguan,https://m.51job.com/jobs/shaoguan/82173297.html
106236389,jilin,https://m.51job.com/jobs/changchun-gxjs/106236389.html
112124653,leshan,https://m.51job.com/jobs/sichuansheng/112124653.html
112125540,xiamen,https://m.51job.com/jobs/xiamen/112125540.html
107067186,meizhou,https://m.51job.com/jobs/meizhou/107067186.html
111190855,dazhou,https://m.51job.com/jobs/mianyang/111190855.html
87680429,cangzhou,https://m.51job.com/jobs/cangzhou/87680429.html
102389470,hengshui,https://m.51job.com/jobs/hengshui/102389470.html
98255151,haikou,https://m.51job.com/jobs/haikou/98255151.html
109982946,fuzhoue,https://m.51job.com/jobs/fuzhoue/109982946.html
107161992,putian,https://m.51job.com/jobs/fuzhou-fqs/107161992.html
111043987,yangjiang,https://m.51job.com/jobs/guangzhou-pyq/111043987.html
98107771,taizhou,https://m.51job.com/jobs/taizhou/98107771.html
111085254,baotou,https://m.51job.com/jobs/baotou/111085254.html
99068748,shaoyang,https://m.51job.com/jobs/shaoyang/99068748.html
105481337,kunming,https://m.51job.com/jobs/kunming-whq/105481337.html
69388248,jiangmen,https://m.51job.com/jobs/jiangmen/69388248.html
112124284,shenzhen,https://m.51job.com/jobs/shenzhen-baq/112124284.html
104073159,shenyang,https://m.51job.com/jobs/shenyang-hpq/104073159.html
111922974,xingtai,https://m.51job.com/jobs/xingtai/111922974.html
106708368,ningbo,https://m.51job.com/jobs/ningbo/106708368.html
112121954,xuzhou,https://m.51job.com/jobs/xuzhou/112121954.html
112121945,datong,https://m.51job.com/jobs/changchun/112121945.html
112119479,chaozhou,https://m.51job.com/jobs/chaozhou/112119479.html
112125838,liaocheng,https://m.51job.com/jobs/liuan/112125838.html
112124374,huaihua,https://m.51job.com/jobs/huaihua/112124374.html
112125339,puyang,https://m.51job.com/jobs/puyang/112125339.html
109077274,tieling,https://m.51job.com/jobs/shenyang-hpq/109077274.html
98954791,huhhot,https://m.51job.com/jobs/huhhot/98954791.html
110680745,fuyang,https://m.51job.com/jobs/fuyang/110680745.html
111190866,yibin,https://m.51job.com/jobs/mianyang/111190866.html
111765966,baoding,https://m.51job.com/jobs/baoding/111765966.html
112093898,nanchang,https://m.51job.com/jobs/jiangxisheng/112093898.html
111263636,jingzhou,https://m.51job.com/jobs/jingzhou/111263636.html
78390306,taian,https://m.51job.com/jobs/taian/78390306.html
111015632,xiangyang,https://m.51job.com/jobs/xiangyang/111015632.html
109132633,shijiazhuang,https://m.51job.com/jobs/hebeisheng/109132633.html
108377925,deyang,https://m.51job.com/jobs/deyang/108377925.html
112123448,wuhan,https://m.51job.com/jobs/wuhan-jhq/112123448.html
111771032,qingdao,https://m.51job.com/jobs/qingdao/111771032.html
112125862,huaibei,https://m.51job.com/jobs/liuan/112125862.html
110893295,chenzhou,https://m.51job.com/jobs/chenzhou/110893295.html
112125449,shiyan,https://m.51job.com/jobs/shiyan/112125449.html
105365414,kunshan,https://m.51job.com/jobs/kunshan/105365414.html
112125575,xuchang,https://m.51job.com/jobs/xuchang/112125575.html
112030965,linfen,https://m.51job.com/jobs/linfen/112030965.html
109415366,huizhou,https://m.51job.com/jobs/huizhou/109415366.html
112125604,bangbu,https://m.51job.com/jobs/bangbu/112125604.html
112063880,guiyang,https://m.51job.com/jobs/guiyang/112063880.html
88633171,yichune,https://m.51job.com/jobs/yichune/88633171.html
109942661,nantong,https://m.51job.com/jobs/nantong/109942661.html
103813124,jining,https://m.51job.com/jobs/jining/103813124.html
108844399,huainan,https://m.51job.com/jobs/huainan/108844399.html
112119698,wuxi,https://m.51job.com/jobs/wuxi-wxxq/112119698.html
107368241,quanzhou,https://m.51job.com/jobs/quanzhou/107368241.html
111850015,kaifeng,https://m.51job.com/jobs/zhengzhou/111850015.html
111812712,dezhou,https://m.51job.com/jobs/dezhou/111812712.html
107555315,chifeng,https://m.51job.com/jobs/chifeng/107555315.html
111248669,suzhou,https://m.51job.com/jobs/nantong/111248669.html
112125121,suizhou,https://m.51job.com/jobs/suizhou/112125121.html
97072869,xian,https://m.51job.com/jobs/xian-gxjs/97072869.html
112104545,baoji,https://m.51job.com/jobs/baoji/112104545.html
110680268,liuan,https://m.51job.com/jobs/liuan/110680268.html
110122185,xuancheng,https://m.51job.com/jobs/xuancheng/110122185.html
98574202,nanning,https://m.51job.com/jobs/nanning/98574202.html
94588952,hengyang,https://m.51job.com/jobs/hengyang/94588952.html
90261356,xiangtan,https://m.51job.com/jobs/xiangtan/90261356.html
101119335,ganzhou,https://m.51job.com/jobs/nanchang/101119335.html
111858445,yiyang,https://m.51job.com/jobs/yiyang/111858445.html
43300783,jiujiang,https://m.51job.com/jobs/jiujiang/43300783.html
111981199,huanggang,https://m.51job.com/jobs/huanggang/111981199.html
99189456,wenzhou,https://m.51job.com/jobs/wenzhou/99189456.html
112125156,qinhuangdao,https://m.51job.com/jobs/qinhuangdao/112125156.html
112125094,chuzhou,https://m.51job.com/jobs/chuzhou/112125094.html
112123379,dongying,https://m.51job.com/jobs/dongying/112123379.html
109279114,xianyang,https://m.51job.com/jobs/xianyang/109279114.html
111190870,nanchong,https://m.51job.com/jobs/mianyang/111190870.html
111190857,suining,https://m.51job.com/jobs/mianyang/111190857.html
112123334,binzhou,https://m.51job.com/jobs/binzhou/112123334.html
110133911,yantai,https://m.51job.com/jobs/yantai/110133911.html
112125894,sanya,https://m.51job.com/jobs/sanya/112125894.html
88386087,loudi,https://m.51job.com/jobs/loudi/88386087.html
112121165,hangzhou,https://m.51job.com/jobs/hangzhou-jds/112121165.html
110921071,huangshi,https://m.51job.com/jobs/huangshi/110921071.html
110854680,jian,https://m.51job.com/jobs/jian/110854680.html
91079169,lanzhou,https://m.51job.com/jobs/guangzhou/91079169.html
112121030,huaian,https://m.51job.com/jobs/huaian/112121030.html
111190872,guangan,https://m.51job.com/jobs/mianyang/111190872.html
112125241,yongzhou,https://m.51job.com/jobs/yongzhou/112125241.html
110332218,urumqi,https://m.51job.com/jobs/dongguan-hlz/110332218.html
111664358,changzhi,https://m.51job.com/jobs/changzhi/111664358.html
110930846,errduosi,https://m.51job.com/jobs/errduosi/110930846.html
97206947,qingyuan,https://m.51job.com/jobs/qingyuan/97206947.html
112125843,nanyang,https://m.51job.com/jobs/liuan/112125843.html
112125037,suqian,https://m.51job.com/jobs/suqian/112125037.html
110719920,yangzhou,https://m.51job.com/jobs/jiangsusheng/110719920.html
111190854,luzhou,https://m.51job.com/jobs/mianyang/111190854.html
111142282,nanjing,https://m.51job.com/jobs/nanjing-jnq/111142282.html
111850016,jiaozuo,https://m.51job.com/jobs/zhengzhou/111850016.html
97965301,jinan,https://m.51job.com/jobs/jinan/97965301.html
108844720,wuhu,https://m.51job.com/jobs/wuhu/108844720.html
112125278,langfang,https://m.51job.com/jobs/langfang/112125278.html
102415838,shaoxing,https://m.51job.com/jobs/shaoxing/102415838.html
108840529,yulin,https://m.51job.com/jobs/nanning/108840529.html
111190856,guangyuan,https://m.51job.com/jobs/mianyang/111190856.html
108142690,changchun,https://m.51job.com/jobs/liaoningsheng/108142690.html
110596567,huzhou,https://m.51job.com/jobs/hangzhou-jds/110596567.html
110375034,dalian,https://m.51job.com/jobs/dalian-shkq/110375034.html
112125108,qiqihaer,https://m.51job.com/jobs/hadongbin-xfq/112125108.html
98693898,ezhou,https://m.51job.com/jobs/wuhan-hpq/98693898.html
111729406,xining,https://m.51job.com/jobs/xining/111729406.html
111153187,suzhoue,https://m.51job.com/jobs/suzhoue/111153187.html
111497625,yichang,https://m.51job.com/jobs/yichang/111497625.html
111143188,chengdu,https://m.51job.com/jobs/panzhihua/111143188.html
112122308,luohe,https://m.51job.com/jobs/luohe/112122308.html
112125865,linyi,https://m.51job.com/jobs/liuan/112125865.html
112125609,jieyang,https://m.51job.com/jobs/jieyang/112125609.html
89009885,guigang,https://m.51job.com/jobs/guigang/89009885.html
110968616,yueyang,https://m.51job.com/jobs/hunansheng/110968616.html
110097340,shantou,https://m.51job.com/jobs/shantou/110097340.html
97646011,handan,https://m.51job.com/jobs/handan/97646011.html
110945718,changsha,https://m.51job.com/jobs/changsha-ylq/110945718.html
101799067,xianning,https://m.51job.com/jobs/xianning/101799067.html
109776185,yancheng,https://m.51job.com/jobs/suzhou-gsq/109776185.html
109648956,chongqing,https://m.51job.com/jobs/chongqing/109648956.html
112125854,mianyang,https://m.51job.com/jobs/liuan/112125854.html
103664654,tianjin,https://m.51job.com/jobs/tianjin-wqq/103664654.html
110475112,luoyang,https://m.51job.com/jobs/luoyang/110475112.html
110701910,yuncheng,https://m.51job.com/jobs/yuncheng/110701910.html
112123312,shanwei,https://m.51job.com/jobs/shanwei/112123312.html
110095916,zhangzhou,https://m.51job.com/jobs/zhangzhou/110095916.html
94296279,zhengzhou,https://m.51job.com/jobs/erqiqu/94296279.html
110200720,zhongshan,https://m.51job.com/jobs/zhongshan/110200720.html
97975079,zhuhai,https://m.51job.com/jobs/zhuhai/97975079.html
110114144,zhenjiang,https://m.51job.com/jobs/zhenjiang/110114144.html
112125512,zhuzhou,https://m.51job.com/jobs/zhuzhou/112125512.html
112125639,zhanjiang,https://m.51job.com/jobs/zhanjiang/112125639.html
112119741,zhaoqing,https://m.51job.com/jobs/guangzhou-yxq/112119741.html
109464733,zhangjiagang,https://m.51job.com/jobs/suzhou/109464733.html
111989327,zibo,https://m.51job.com/jobs/zibo/111989327.html
103813125,zaozhuang,https://m.51job.com/jobs/zaozhuang/103813125.html
101090148,zhangjiakou,https://m.51job.com/jobs/zhangjiakou/101090148.html
110868956,zhoukou,https://m.51job.com/jobs/zhoukou/110868956.html
112124852,zhumadian,https://m.51job.com/jobs/zhumadian/112124852.html
111441850,zunyi,https://m.51job.com/jobs/zunyi/111441850.html
