,category1_name,category2_no,category2_name,category3_no,category3_name,href
1,技术,4O00,后端开发,0101,Java,https://www.lagou.com/zhaopin/Java/
2,技术,4O00,后端开发,0102,C++,https://www.lagou.com/zhaopin/C%2B%2B/
3,技术,4O00,后端开发,0103,PHP,https://www.lagou.com/zhaopin/PHP/
4,技术,4O00,后端开发,0104,数据挖掘,https://www.lagou.com/zhaopin/shujuwajue/
5,技术,4O00,后端开发,0105,搜索算法,https://www.lagou.com/zhaopin/sousuosuanfa/
6,技术,4O00,后端开发,0106,精准推荐,https://www.lagou.com/zhaopin/jingzhuntuijian/
7,技术,4O00,后端开发,0107,C,https://www.lagou.com/zhaopin/C/
8,技术,4O00,后端开发,0108,C#,https://www.lagou.com/zhaopin/C%23/
9,技术,4O00,后端开发,0109,全栈工程师,https://www.lagou.com/zhaopin/quanzhangongchengshi/
10,技术,4O00,后端开发,0110,.NET,https://www.lagou.com/zhaopin/.NET/
11,技术,4O00,后端开发,0111,Hadoop,https://www.lagou.com/zhaopin/Hadoop/
12,技术,4O00,后端开发,0112,Python,https://www.lagou.com/zhaopin/Python/
13,技术,4O00,后端开发,0113,Delphi,https://www.lagou.com/zhaopin/Delphi/
14,技术,4O00,后端开发,0114,VB,https://www.lagou.com/zhaopin/VB/
15,技术,4O00,后端开发,0115,Perl,https://www.lagou.com/zhaopin/Perl/
16,技术,4O00,后端开发,0116,Ruby,https://www.lagou.com/zhaopin/Ruby/
17,技术,4O00,后端开发,0117,Node.js,https://www.lagou.com/zhaopin/Node.js/
18,技术,4O00,后端开发,0118,Go,https://www.lagou.com/zhaopin/go/
19,技术,4O00,后端开发,0119,ASP,https://www.lagou.com/zhaopin/asp/
20,技术,4O00,后端开发,0120,Shell,https://www.lagou.com/zhaopin/shell/
21,技术,4O00,后端开发,0121,区块链,https://www.lagou.com/zhaopin/qukuailian/
22,技术,4O00,后端开发,0122,后端开发其它,https://www.lagou.com/zhaopin/houduankaifaqita/
23,技术,4O00,移动开发,0201,HTML5,https://www.lagou.com/zhaopin/HTML5/
24,技术,4O00,移动开发,0202,Android,https://www.lagou.com/zhaopin/Android/
25,技术,4O00,移动开发,0203,iOS,https://www.lagou.com/zhaopin/iOS/
26,技术,4O00,移动开发,0204,WP,https://www.lagou.com/zhaopin/WP/
27,技术,4O00,移动开发,0205,移动开发其它,https://www.lagou.com/zhaopin/yidongkaifaqita/
28,技术,4O00,前端开发,0301,web前端,https://www.lagou.com/zhaopin/webqianduan/
29,技术,4O00,前端开发,0302,Flash,https://www.lagou.com/zhaopin/Flash/
30,技术,4O00,前端开发,0303,html5,https://www.lagou.com/zhaopin/html51/
31,技术,4O00,前端开发,0304,JavaScript,https://www.lagou.com/zhaopin/JavaScript/
32,技术,4O00,前端开发,0305,U3D,https://www.lagou.com/zhaopin/U3D/
33,技术,4O00,前端开发,0306,COCOS2D-X,https://www.lagou.com/zhaopin/COCOS2D-X/
34,技术,4O00,前端开发,0307,前端开发其它,https://www.lagou.com/zhaopin/qianduankaifaqita/
35,技术,4O00,人工智能,0401,深度学习,https://www.lagou.com/zhaopin/shenduxuexi/
36,技术,4O00,人工智能,0402,机器学习,https://www.lagou.com/zhaopin/jiqixuexi/
37,技术,4O00,人工智能,0403,图像处理,https://www.lagou.com/zhaopin/tuxiangchuli/
38,技术,4O00,人工智能,0404,图像识别,https://www.lagou.com/zhaopin/tuxiangshibie/
39,技术,4O00,人工智能,0405,语音识别,https://www.lagou.com/zhaopin/yuyinshibie/
40,技术,4O00,人工智能,0406,机器视觉,https://www.lagou.com/zhaopin/jiqishijue/
41,技术,4O00,人工智能,0407,算法工程师,https://www.lagou.com/zhaopin/suanfagongchengshi/
42,技术,4O00,人工智能,0408,自然语言处理,https://www.lagou.com/zhaopin/ziranyuyanchuli/
43,技术,4O00,测试,0501,测试工程师,https://www.lagou.com/zhaopin/ceshigongchengshi/
44,技术,4O00,测试,0502,自动化测试,https://www.lagou.com/zhaopin/zidonghuaceshi/
45,技术,4O00,测试,0503,功能测试,https://www.lagou.com/zhaopin/gongnengceshi/
46,技术,4O00,测试,0504,性能测试,https://www.lagou.com/zhaopin/xingnengceshi/
47,技术,4O00,测试,0505,测试开发,https://www.lagou.com/zhaopin/ceshikaifa/
48,技术,4O00,测试,0506,游戏测试,https://www.lagou.com/zhaopin/youxiceshi/
49,技术,4O00,测试,0507,白盒测试,https://www.lagou.com/zhaopin/baiheceshi/
50,技术,4O00,测试,0508,灰盒测试,https://www.lagou.com/zhaopin/huiheceshi/
51,技术,4O00,测试,0509,黑盒测试,https://www.lagou.com/zhaopin/heiheceshi/
52,技术,4O00,测试,0510,手机测试,https://www.lagou.com/zhaopin/shoujiceshi/
53,技术,4O00,测试,0511,硬件测试,https://www.lagou.com/zhaopin/yingjianceshi/
54,技术,4O00,测试,0512,测试经理,https://www.lagou.com/zhaopin/ceshijingli2/
55,技术,4O00,测试,0513,测试其它,https://www.lagou.com/zhaopin/ceshiqita/
56,技术,4O00,运维,0601,运维工程师,https://www.lagou.com/zhaopin/yunweigongchengshi/
57,技术,4O00,运维,0602,运维开发工程师,https://www.lagou.com/zhaopin/yunweikaifagongchengshi/
58,技术,4O00,运维,0603,网络工程师,https://www.lagou.com/zhaopin/wangluogongchengshi/
59,技术,4O00,运维,0604,系统工程师,https://www.lagou.com/zhaopin/xitonggongchengshi/
60,技术,4O00,运维,0605,IT支持,https://www.lagou.com/zhaopin/ITzhichi/
61,技术,4O00,运维,0606,IDC,https://www.lagou.com/zhaopin/idc/
62,技术,4O00,运维,0607,CDN,https://www.lagou.com/zhaopin/cdn/
63,技术,4O00,运维,0608,F5,https://www.lagou.com/zhaopin/f5/
64,技术,4O00,运维,0609,系统管理员,https://www.lagou.com/zhaopin/xitongguanliyuan/
65,技术,4O00,运维,0610,病毒分析,https://www.lagou.com/zhaopin/bingdufenxi/
66,技术,4O00,运维,0611,WEB安全,https://www.lagou.com/zhaopin/webanquan/
67,技术,4O00,运维,0612,网络安全,https://www.lagou.com/zhaopin/wangluoanquan/
68,技术,4O00,运维,0613,系统安全,https://www.lagou.com/zhaopin/xitonganquan/
69,技术,4O00,运维,0614,运维经理,https://www.lagou.com/zhaopin/yunweijingli/
70,技术,4O00,运维,0615,运维其它,https://www.lagou.com/zhaopin/yunweiqita/
71,技术,4O00,DBA,0701,MySQL,https://www.lagou.com/zhaopin/MySQL/
72,技术,4O00,DBA,0702,SQLServer,https://www.lagou.com/zhaopin/SQLServer/
73,技术,4O00,DBA,0703,Oracle,https://www.lagou.com/zhaopin/Oracle/
74,技术,4O00,DBA,0704,DB2,https://www.lagou.com/zhaopin/DB2/
75,技术,4O00,DBA,0705,MongoDB,https://www.lagou.com/zhaopin/MongoDB/
76,技术,4O00,DBA,0706,ETL,https://www.lagou.com/zhaopin/etl/
77,技术,4O00,DBA,0707,Hive,https://www.lagou.com/zhaopin/hive/
78,技术,4O00,DBA,0708,数据仓库,https://www.lagou.com/zhaopin/shujucangku/
79,技术,4O00,DBA,0709,DBA其它,https://www.lagou.com/zhaopin/dbaqita/
80,技术,4O00,高端职位,0801,技术经理,https://www.lagou.com/zhaopin/jishujingli/
81,技术,4O00,高端职位,0802,技术总监,https://www.lagou.com/zhaopin/jishuzongjian/
82,技术,4O00,高端职位,0803,架构师,https://www.lagou.com/zhaopin/jiagoushi/
83,技术,4O00,高端职位,0804,CTO,https://www.lagou.com/zhaopin/CTO/
84,技术,4O00,高端职位,0805,运维总监,https://www.lagou.com/zhaopin/yunweizongjian/
85,技术,4O00,高端职位,0806,技术合伙人,https://www.lagou.com/zhaopin/jishuhehuoren/
86,技术,4O00,高端职位,0807,项目总监,https://www.lagou.com/zhaopin/xiangmuzongjian/
87,技术,4O00,高端职位,0808,测试总监,https://www.lagou.com/zhaopin/ceshizongjian/
88,技术,4O00,高端职位,0809,安全专家,https://www.lagou.com/zhaopin/anquanzhuanjia/
89,技术,4O00,高端职位,0810,高端技术职位其它,https://www.lagou.com/zhaopin/gaoduanjishuzhiweiqita/
90,技术,4O00,项目管理,0901,项目经理,https://www.lagou.com/zhaopin/xiangmujingli/
91,技术,4O00,项目管理,0902,项目助理,https://www.lagou.com/zhaopin/xiangmuzhuli/
92,技术,4O00,硬件开发,1001,硬件,https://www.lagou.com/zhaopin/yingjian/
93,技术,4O00,硬件开发,1002,嵌入式,https://www.lagou.com/zhaopin/qianrushi/
94,技术,4O00,硬件开发,1003,自动化,https://www.lagou.com/zhaopin/zidonghua/
95,技术,4O00,硬件开发,1004,单片机,https://www.lagou.com/zhaopin/danpianji/
96,技术,4O00,硬件开发,1005,电路设计,https://www.lagou.com/zhaopin/dianlusheji/
97,技术,4O00,硬件开发,1006,驱动开发,https://www.lagou.com/zhaopin/qudongkaifa/
98,技术,4O00,硬件开发,1007,系统集成,https://www.lagou.com/zhaopin/xitongjicheng/
99,技术,4O00,硬件开发,1008,FPGA开发,https://www.lagou.com/zhaopin/fpgakaifa/
100,技术,4O00,硬件开发,1009,DSP开发,https://www.lagou.com/zhaopin/dspkaifa/
101,技术,4O00,硬件开发,1010,ARM开发,https://www.lagou.com/zhaopin/armkaifa/
102,技术,4O00,硬件开发,1011,PCB工艺,https://www.lagou.com/zhaopin/pcbgongyi/
103,技术,4O00,硬件开发,1012,模具设计,https://www.lagou.com/zhaopin/mujusheji/
104,技术,4O00,硬件开发,1013,热传导,https://www.lagou.com/zhaopin/rechuandao/
105,技术,4O00,硬件开发,1014,材料工程师,https://www.lagou.com/zhaopin/cailiaogongchengshi/
106,技术,4O00,硬件开发,1015,精益工程师,https://www.lagou.com/zhaopin/jingyigongchengshi/
107,技术,4O00,硬件开发,1016,射频工程师,https://www.lagou.com/zhaopin/shepingongchengshi/
108,技术,4O00,硬件开发,1017,硬件开发其它,https://www.lagou.com/zhaopin/yingjiankaifaqita/
109,技术,4O00,企业软件,1101,实施工程师,https://www.lagou.com/zhaopin/shishigongchengshi/
110,技术,4O00,企业软件,1102,售前工程师,https://www.lagou.com/zhaopin/shouqiangongchengshi/
111,技术,4O00,企业软件,1103,售后工程师,https://www.lagou.com/zhaopin/shouhougongchengshi/
112,技术,4O00,企业软件,1104,BI工程师,https://www.lagou.com/zhaopin/bigongchengshi/
113,技术,4O00,企业软件,1105,企业软件其它,https://www.lagou.com/zhaopin/qiyeruanjianqita/
114,产品,4P00,产品经理,0101,产品经理,https://www.lagou.com/zhaopin/chanpinjingli1/
115,产品,4P00,产品经理,0102,网页产品经理,https://www.lagou.com/zhaopin/wangyechanpinjingli/
116,产品,4P00,产品经理,0103,移动产品经理,https://www.lagou.com/zhaopin/yidongchanpinjingli/
117,产品,4P00,产品经理,0104,产品助理,https://www.lagou.com/zhaopin/chanpinzhuli/
118,产品,4P00,产品经理,0105,数据产品经理,https://www.lagou.com/zhaopin/shujuchanpinjingli/
119,产品,4P00,产品经理,0106,电商产品经理,https://www.lagou.com/zhaopin/dianshangchanpinjingli/
120,产品,4P00,产品经理,0107,游戏策划,https://www.lagou.com/zhaopin/youxicehua/
121,产品,4P00,产品经理,0108,产品实习生,https://www.lagou.com/zhaopin/chanpinshixisheng/
122,产品,4P00,产品设计师,0201,网页产品设计师,https://www.lagou.com/zhaopin/wangyechanpinshejishi/
123,产品,4P00,产品设计师,0202,无线产品设计师,https://www.lagou.com/zhaopin/wuxianchanpinshejishi/
124,产品,4P00,高端职位,0301,产品部经理,https://www.lagou.com/zhaopin/chanpinbujingli/
125,产品,4P00,高端职位,0302,产品总监,https://www.lagou.com/zhaopin/chanpinzongjian/
126,产品,4P00,高端职位,0303,游戏制作人,https://www.lagou.com/zhaopin/youxizhizuoren/
127,设计,4Q00,视觉设计,0101,视觉设计师,https://www.lagou.com/zhaopin/shijueshejishi/
128,设计,4Q00,视觉设计,0102,网页设计师,https://www.lagou.com/zhaopin/wangyeshejishi/
129,设计,4Q00,视觉设计,0103,Flash设计师,https://www.lagou.com/zhaopin/Flashshejishi/
130,设计,4Q00,视觉设计,0104,APP设计师,https://www.lagou.com/zhaopin/APPshejishi/
131,设计,4Q00,视觉设计,0105,UI设计师,https://www.lagou.com/zhaopin/UIshejishi/
132,设计,4Q00,视觉设计,0106,平面设计师,https://www.lagou.com/zhaopin/pingmianshejishi/
133,设计,4Q00,视觉设计,0107,美术设计师（2D/3D）,https://www.lagou.com/zhaopin/meishushejishi%EF%BC%882D3D%EF%BC%89/
134,设计,4Q00,视觉设计,0108,广告设计师,https://www.lagou.com/zhaopin/guanggaoshejishi/
135,设计,4Q00,视觉设计,0109,多媒体设计师,https://www.lagou.com/zhaopin/duomeitishejishi/
136,设计,4Q00,视觉设计,0110,原画师,https://www.lagou.com/zhaopin/yuanhuashi/
137,设计,4Q00,视觉设计,0111,游戏特效,https://www.lagou.com/zhaopin/youxitexiao/
138,设计,4Q00,视觉设计,0112,游戏界面设计师,https://www.lagou.com/zhaopin/youxijiemianshejishi/
139,设计,4Q00,视觉设计,0113,游戏场景,https://www.lagou.com/zhaopin/youxichangjing/
140,设计,4Q00,视觉设计,0114,游戏角色,https://www.lagou.com/zhaopin/youxijiaose/
141,设计,4Q00,视觉设计,0115,游戏动作,https://www.lagou.com/zhaopin/youxidongzuo/
142,设计,4Q00,交互设计,0201,交互设计师,https://www.lagou.com/zhaopin/jiaohushejishi1/
143,设计,4Q00,交互设计,0202,无线交互设计师,https://www.lagou.com/zhaopin/wuxianjiaohushejishi/
144,设计,4Q00,交互设计,0203,网页交互设计师,https://www.lagou.com/zhaopin/wangyejiaohushejishi/
145,设计,4Q00,交互设计,0204,硬件交互设计师,https://www.lagou.com/zhaopin/yingjianjiaohushejishi/
146,设计,4Q00,用户研究,0301,数据分析师,https://www.lagou.com/zhaopin/shujufenxishi/
147,设计,4Q00,用户研究,0302,用户研究员,https://www.lagou.com/zhaopin/yonghuyanjiuyuan/
148,设计,4Q00,用户研究,0303,游戏数值策划,https://www.lagou.com/zhaopin/youxishuzhicehua/
149,设计,4Q00,高端职位,0401,设计经理/主管,https://www.lagou.com/zhaopin/shejijinglizhuguan/
150,设计,4Q00,高端职位,0402,设计总监,https://www.lagou.com/zhaopin/shejizongjian/
151,设计,4Q00,高端职位,0403,视觉设计经理/主管,https://www.lagou.com/zhaopin/shijueshejijinglizhuguan/
